
Ciudades eficientes:
99 44 11
101 56 17
102 56 25
169 64 21
170 72 25
103 56 33
104 56 41
92 44 27
98 32 17
97 24 17
96 16 17
95 16 25
94 24 25
93 32 25
91 44 35
90 44 43
89 40 51
109 48 51
80 32 41
79 24 45
81 32 49
82 32 57
83 32 65
84 32 73
88 40 63
112 48 63
87 40 73
113 48 73
85 32 81
66 24 89
76 16 57
78 8 41
77 8 49
75 8 57
74 8 65
73 8 73
72 8 81
71 8 89
70 8 97
67 16 97
69 8 109
68 16 109
64 32 97
63 40 99
62 48 99
65 32 89
86 40 83
116 48 83
58 32 113
57 32 121
59 40 113
44 40 121
45 40 129
56 32 129
55 32 137
46 40 137
47 40 145
54 32 145
53 32 153
48 40 153
49 40 161
52 32 161
51 32 169
50 40 169
38 56 161
37 56 169
36 64 165
35 64 157
39 56 153
40 56 145
41 56 137
42 56 129
43 56 121
60 56 113
61 56 105
118 56 97
117 56 89
115 56 81
114 56 73
111 56 65
110 56 57
108 56 49
105 64 41
107 72 49
106 72 41
173 80 41
174 88 49
161 104 49
175 104 57
160 104 65
159 104 73
158 104 81
157 104 89
119 104 97
120 104 105
121 104 113
122 104 121
123 104 129
124 104 137
125 104 145
30 104 153
31 104 161
34 80 157
33 90 165
32 104 169
28 124 169
27 132 169
26 140 169
22 148 169
25 156 169
23 164 169
24 172 169
29 116 161
126 116 145
127 124 145
128 132 145
21 140 145
20 148 145
19 156 145
18 164 145
17 172 145
133 164 137
132 156 137
131 148 137
130 140 137
129 132 137
154 124 125
155 124 117
153 124 109
156 124 101
176 124 69
177 124 77
151 124 85
152 124 93
178 132 81
150 148 85
138 172 93
267 180 101
268 180 109
137 172 101
136 172 109
135 172 117
134 172 125
269 180 117
270 180 125
16 188 145
271 196 145
272 204 145
273 212 145
274 220 145
275 228 145
276 236 145
9 228 161
15 196 161
14 188 169
13 196 169
12 204 169
11 212 169
10 220 169
8 228 169
7 236 169
6 246 157
5 256 157
277 246 141
4 256 141
1 288 149
2 288 129
280 280 133
3 270 133
279 260 129
278 252 125
260 228 125
261 220 125
259 228 117
258 228 109
256 236 101
255 236 93
252 236 85
209 236 77
210 236 69
211 236 61
214 236 53
215 236 45
218 236 37
219 236 29
249 252 101
248 260 109
250 260 93
247 268 97
244 276 101
243 280 109
242 288 109
241 284 101
240 284 93
245 276 93
246 276 85
239 284 85
238 284 77
237 284 69
236 284 61
235 284 53
234 276 53
233 276 61
232 276 69
231 276 77
251 260 85
230 260 77
229 260 69
228 260 61
227 260 53
226 260 45
225 260 37
224 260 29
223 252 21
222 236 21
221 228 21
220 228 29
217 228 37
216 228 45
213 228 53
212 228 61
207 228 69
204 204 57
205 212 65
206 220 73
208 228 77
253 228 85
254 228 93
257 228 101
262 212 117
263 204 109
264 196 101
265 188 93
266 180 93
140 180 85
141 180 77
139 172 85
148 172 77
142 180 69
143 180 61
144 180 53
200 180 45
203 196 49
202 188 41
201 180 37
196 180 29
195 180 21
194 172 21
197 172 29
198 172 37
199 172 45
145 172 53
146 172 61
147 172 69
149 164 81
179 140 65
180 132 61
181 124 61
182 124 53
183 124 45
184 124 37
185 124 29
186 132 21
193 156 25
192 162 9
191 148 9
190 136 9
189 128 9
188 120 9
187 124 21
162 104 41
163 104 33
164 104 25
165 104 17
166 92 9
172 80 25
171 80 25
167 80 9
168 72 9
100 56 9
